Order_ID,Order_Date,Customer_ID,Product,Category,Region,City,Quantity,Unit_Price,Discount_Pct,Discount_Amount,Revenue,Cost,Profit,Payment_Mode,Profit_Margin
ORD08576,2025-07-15,CUST1237,Dining Table,Furniture,East,Kolkata,4,22000,5.0,4400.0,83600.0,66854.48,16745.52,UPI,20.03
ORD03743,2024-11-20,CUST1380,Sneakers,Clothing,North,Jaipur,5,3000,10.0,1500.0,13500.0,9807.55,3692.45,Credit Card,27.35
ORD06232,2025-10-27,CUST2611,Wallet,Accessories,South,Bangalore,7,1200,10.0,840.0,7560.0,5819.06,1740.94,Cash,23.03
ORD05724,2025-11-02,CUST2599,Dining Table,Furniture,South,Bangalore,7,22000,10.0,15400.0,138600.0,93788.52,44811.48,Credit Card,32.33
ORD08988,2025-07-23,CUST2758,Tablet,Electronics,North,Chandigarh,7,18000,10.0,12600.0,113400.0,76643.27,36756.73,Unknown,32.41
ORD06523,2025-02-02,CUST1610,Backpack,Accessories,South,Bangalore,4,1800,0.0,0.0,7200.0,4741.33,2458.67,UPI,34.15
ORD03150,2024-09-11,CUST2302,Office Chair,Furniture,South,Hyderabad,4,8500,5.0,1700.0,32300.0,25176.45,7123.55,UPI,22.05
ORD02877,2024-10-18,CUST1816,Jeans,Clothing,West,Mumbai,5,1800,5.0,450.0,8550.0,5723.97,2826.03,Debit Card,33.05
ORD05915,2024-09-23,CUST1729,Wallet,Accessories,North,Delhi,5,1200,0.0,0.0,6000.0,4202.99,1797.01,Debit Card,29.95
ORD07745,2024-08-03,CUST2778,Jeans,Clothing,East,Kolkata,5,1800,0.0,0.0,9000.0,5860.6,3139.4,Debit Card,34.88
ORD05701,2025-06-08,CUST1233,Microwave,Home Appliances,West,Goa,4,9000,15.0,5400.0,30600.0,20814.62,9785.38,Net Banking,31.98
ORD04690,2025-02-21,CUST1988,Desk,Furniture,South,Kochi,3,12000,5.0,1800.0,34200.0,21200.64,12999.36,UPI,38.01
ORD01781,2024-07-30,CUST2099,Sofa,Furniture,East,Patna,7,25000,10.0,17500.0,157500.0,108143.98,49356.02,Credit Card,31.34
ORD08905,2025-01-04,CUST2236,Electric Kettle,Home Appliances,South,Hyderabad,1,1800,0.0,0.0,1800.0,1034.03,765.97,Credit Card,42.55
ORD04360,2025-12-20,CUST1690,Jacket,Clothing,South,Bangalore,6,3500,0.0,0.0,21000.0,14986.97,6013.03,Debit Card,28.63
ORD07733,2025-03-11,CUST1798,Jeans,Clothing,West,Mumbai,7,1800,10.0,1260.0,11340.0,6952.4,4387.6,Net Banking,38.69
